	labeled_data_index	label
0	0	train
71	1	test
1	2	train
72	3	test
73	4	test
74	5	test
75	6	test
2	7	train
76	8	test
3	9	train
4	10	train
5	11	train
6	12	train
77	13	test
78	14	test
79	15	test
7	16	train
8	17	train
9	18	train
10	19	train
80	20	test
81	21	test
11	22	train
12	23	train
82	24	test
83	25	test
84	26	test
13	27	train
85	28	test
86	29	test
87	30	test
14	31	train
88	32	test
89	33	test
15	34	train
90	35	test
91	36	test
92	37	test
16	38	train
93	39	test
17	40	train
18	41	train
94	42	test
19	43	train
20	44	train
95	45	test
21	46	train
96	47	test
22	48	train
23	49	train
24	50	train
97	51	test
25	52	train
98	53	test
99	54	test
26	55	train
100	56	test
27	57	train
28	58	train
29	59	train
30	60	train
101	61	test
102	62	test
103	63	test
31	64	train
104	65	test
105	66	test
106	67	test
32	68	train
107	69	test
33	70	train
108	71	test
34	72	train
109	73	test
35	74	train
36	75	train
110	76	test
37	77	train
111	78	test
112	79	test
113	80	test
38	81	train
114	82	test
39	83	train
40	84	train
115	85	test
41	86	train
116	87	test
117	88	test
42	89	train
43	90	train
44	91	train
118	92	test
45	93	train
119	94	test
120	95	test
121	96	test
46	97	train
122	98	test
123	99	test
47	100	train
124	101	test
48	102	train
125	103	test
49	104	train
50	105	train
51	106	train
126	107	test
127	108	test
128	109	test
52	110	train
129	111	test
53	112	train
130	113	test
131	114	test
132	115	test
133	116	test
134	117	test
135	118	test
54	119	train
55	120	train
136	121	test
56	122	train
137	123	test
138	124	test
57	125	train
139	126	test
58	127	train
59	128	train
140	129	test
60	130	train
141	131	test
142	132	test
61	133	train
143	134	test
144	135	test
62	136	train
63	137	train
145	138	test
64	139	train
146	140	test
147	141	test
65	142	train
66	143	train
67	144	train
148	145	test
68	146	train
69	147	train
149	148	test
150	149	test
151	150	test
152	151	test
70	152	train
153	153	test
