labeled_data_index	label
12	train
50	train
61	train
60	train
62	train
26	train
84	train
148	train
67	train
89	train
9	train
113	train
150	train
87	train
126	train
104	train
20	train
81	train
131	train
137	train
39	train
35	train
5	train
92	train
15	train
125	train
55	train
121	train
151	train
2	train
38	train
70	train
144	train
47	train
8	train
46	train
32	train
52	train
23	train
91	train
63	train
128	train
129	train
132	train
94	train
79	train
28	train
77	train
41	train
57	train
95	train
31	train
108	train
16	train
100	train
10	train
45	train
53	train
99	train
13	train
40	train
48	train
19	train
64	train
139	train
88	train
0	train
112	train
18	train
80	train
115	train
135	train
153	train
42	train
82	train
11	train
141	train
138	train
56	train
123	train
133	train
74	train
118	train
105	train
76	train
30	train
58	train
110	train
102	train
24	train
103	train
83	train
140	train
6	test
7	test
14	test
17	test
25	test
27	test
33	test
34	test
36	test
43	test
44	test
51	test
54	test
59	test
65	test
68	test
72	test
73	test
78	test
85	test
86	test
93	test
96	test
101	test
106	test
109	test
114	test
120	test
122	test
124	test
127	test
134	test
136	test
142	test
143	test
147	test
152	test
149	val
145	val
116	val
117	val
71	val
37	val
119	val
98	val
1	val
22	val
111	val
75	val
49	val
29	val
3	val
130	val
107	val
146	val
66	val
90	val
4	val
69	val
21	val
97	val
